record_id,climate_group
B000,continental
B001,mediterranean
B002,oceanic
B003,tropical_semiarid
B004,subtropical
B005,continental
B006,mediterranean
B007,subtropical
B008,mediterranean
B009,oceanic
B010,oceanic
B011,oceanic
B012,continental
B013,continental
B014,oceanic
B015,multi_region
B016,multi_region
B017,oceanic
B018,multi_region
B019,continental
B020,continental
B021,mediterranean
B022,continental
B023,continental
B024,continental
B025,tropical_semiarid
B026,multi_region
B027,multi_region
B028,subtropical
B029,oceanic
B030,mediterranean
B031,continental
B032,mediterranean
B033,oceanic
B034,oceanic
B035,mediterranean
B036,oceanic
B037,mediterranean
B038,mediterranean
B039,tropical_semiarid
B040,continental
B041,subtropical
B042,mediterranean
B043,mediterranean
B044,mediterranean
B045,mediterranean
B046,mediterranean
B047,mediterranean
B048,continental
B049,tropical_semiarid
B050,mediterranean
B051,mediterranean
B052,mediterranean
B053,continental
B054,oceanic
B055,oceanic
B056,subtropical
B057,subtropical
B058,mediterranean
B059,continental
B060,subtropical
B061,continental
B062,oceanic
B063,mediterranean
B064,mediterranean
B065,oceanic
B066,oceanic
B067,oceanic
B068,oceanic
B069,mediterranean
B070,mediterranean
B071,continental
B072,mediterranean
B073,mediterranean
B074,mediterranean
B075,tropical_semiarid
B076,oceanic
B077,oceanic
B078,subtropical
B079,mediterranean
B080,mediterranean
B081,mediterranean
B082,continental
B083,tropical_semiarid
B084,oceanic
B085,subtropical
B086,oceanic
B087,mediterranean
B088,subtropical
B089,mediterranean
B090,tropical_semiarid
B091,oceanic
B092,oceanic
B093,oceanic
B094,oceanic
B095,multi_region
B096,oceanic
B097,subtropical
B098,subtropical
B099,continental
B100,oceanic
B101,continental
B102,mediterranean
B103,continental
B104,subtropical
B105,mediterranean
B106,oceanic
B107,oceanic
B108,tropical_semiarid
B109,subtropical
B110,mediterranean
B111,multi_region
B112,mediterranean
B113,multi_region
B114,oceanic
B115,mediterranean
B116,multi_region
B117,subtropical
B118,mediterranean
B119,subtropical
B120,mediterranean
B121,tropical_semiarid
B122,oceanic
B123,subtropical
B124,mediterranean
B125,mediterranean
B126,mediterranean
B127,tropical_semiarid
B128,mediterranean
B129,tropical_semiarid
B130,mediterranean
B131,continental
B132,oceanic
B133,oceanic
B134,oceanic
B135,continental
B136,subtropical
B137,mediterranean
B138,mediterranean
B139,mediterranean
B140,mediterranean
B141,multi_region
B142,oceanic
B143,mediterranean
B144,oceanic
B145,mediterranean
B146,oceanic
B147,mediterranean
B148,subtropical
B149,subtropical
B150,tropical_semiarid
B151,subtropical
B152,oceanic
B153,oceanic
B154,oceanic
B155,tropical_semiarid
B156,mediterranean
B157,subtropical
B158,mediterranean
B159,subtropical
B160,oceanic
B161,subtropical
B162,oceanic
B163,mediterranean
B164,oceanic
B165,continental
B166,mediterranean
B167,multi_region
B168,oceanic
B169,mediterranean
B170,mediterranean
B171,tropical_semiarid
B172,subtropical
B173,mediterranean
B174,mediterranean
B175,oceanic
B176,mediterranean
B177,mediterranean
B178,oceanic
B179,mediterranean
B180,oceanic
B181,multi_region
B182,mediterranean
B183,multi_region
B184,mediterranean
B185,subtropical
B186,subtropical
B187,subtropical
B188,mediterranean
B189,continental
B190,multi_region
B191,subtropical
B192,subtropical
B193,mediterranean
B194,subtropical
B195,subtropical
B196,oceanic
B197,subtropical
B198,subtropical
B199,subtropical
B200,mediterranean
B201,subtropical
B202,subtropical
B203,tropical_semiarid
B204,subtropical
B205,tropical_semiarid
B206,continental
B207,oceanic
