doi,author_year,target_domain,effect_value,effect_unit,measurement,condition,source
10.1007/978-981-19-9822-5_315,Karam_2023,none,,,,"abstract and Springer chapter page describe BACI monitoring method only; full text paywalled; no quantitative effect size accessible","Springer chapter page + abstract fetched via doi.org"
10.1007/s00376-009-0283-x,Kim_2009,thermal_air,0.13,degC,measured,"average air temperature anomaly reduction at centre of restored Cheonggye stream vs surrounding metropolitan area, long-term monitoring","Springer article abstract (fetched)"
10.1016/j.buildenv.2026.114550,Montero-Gutierrez_2026,thermal_air,15,degC,measured,"occupied zone during extreme heat events (~40C ambient mitigated to ~29C); air-temperature reduction exceeding 15C; MRT reduced up to 8C","ScienceDirect abstract/highlights via OpenAlex"
10.1016/j.enbuild.2021.111299,Takebayashi_2021,thermal_surface,10,degC,measured,"roadway watering midday, effect lasted >=30 min; water surface feature ~15C and watered pavement ~10C; MRT -1.9C and SET* -0.8C for road watering","Elsevier abstract fetched via web search / ScienceDirect page"
10.1016/j.landurbplan.2009.04.005,ShashuaBar_2009,thermal_air,2.5,degC,measured,"max daytime air temperature depression, shade trees + grass courtyard vs bare exposed courtyard (34C mid-afternoon), summer, Negev; mesh-only treatment WARMED ~1K; shading grass cut water use >50%","paper abstract (fetched via Academia.edu/KipHub)"
10.1016/j.landurbplan.2018.10.022,Park_2019,thermal_air,0.46,degC,measured,"mean river cooling intensity at 2pm over 32.7 m (0.37C over 37.2 m at 10pm), restored Cheonggye River transects, summer","paper abstract (Semantic Scholar)"
10.1016/j.landurbplan.2024.105206,Sanz-Mas_2024,none,,,,"reported outcomes are perceived heat sensation, comfort and well-being from questionnaires (difference-in-differences); no physical temperature effect size in abstract","ScienceDirect abstract via OpenAlex"
10.1016/j.scs.2010.12.001,Fintikakis_2011,thermal_air,2.0,degC,modeled,"projected max ambient reduction 1.2-2.0C from cool pavements (up to 3.4C with all measures combined), peak summer; project under construction at publication","Santamouris RSER cool-pavements review PDF + MDPI Sustainability 14:5159 review (both fetched)"
10.1016/j.scs.2010.12.001,Fintikakis_2011,thermal_surface,8,degC,modeled,"surface temperature reduction up to 6-8C, simulation projection for 25000 m2 bioclimatic rehabilitation","MDPI Sustainability 14:5159 review (fetched)"
10.1016/j.scs.2017.11.035,Kolokotsa_2018,thermal_surface,10,degC,measured,"cool paving stones vs conventional pavement, unshaded spot at 14:00; FLIR thermal imaging, consistent with ENVI-met simulation","full text via Academia.edu (fetched)"
10.1016/j.scs.2017.11.035,Kolokotsa_2018,energy,17,percent,modeled,"annual cooling energy demand reduction of municipal building with cool roof tiles; EnergyPlus model informed by monitoring","full text via Academia.edu (fetched)"
10.1016/j.uclim.2016.02.003,Hendel_2016,thermal_air,0.79,degC,measured,"max daytime air temp reduction at 1.5 m during pavement watering (0.57C at 4 m); MRT -1.76C, UTCI -1.03C; night UHI mitigation up to -0.22C","HAL open-access manuscript hal-01113917 (fetched)"
10.1038/s41467-023-36972-5,Schneider_2023,thermal_surface,8.4,degC,measured,"max reflective-pavement-minus-asphalt surface difference, noon vehicle traverse, Westcliff neighborhood","Nature Communications full text (fetched)"
10.1038/s41467-023-36972-5,Schneider_2023,thermal_air,0.3,degC,measured,"post-sunset neighborhood average (-0.19+-0.05C overall, statistically insignificant daytime); NOTE midday MRT INCREASED up to 5.1C over reflective pavement","Nature Communications full text (fetched)"
10.1177/0143624410394518,Gaitani_2011,thermal_air,2.0,degC,modeled,"simulation-evaluated decrease in local summer air temperature up to 2C from combined measures (cool pavements alone 1.6K peak ambient)","Sage abstract via OpenAlex + Santamouris RSER cool-pavements review PDF (fetched)"
10.1177/0143624410394518,Gaitani_2011,thermal_surface,4.5,degC,modeled,"simulated average pavement surface temperature reduction up to 4.5K over summer period, 4160 m2 square","Santamouris RSER cool-pavements review PDF (fetched)"
10.2166/wst.2008.187,Yamagata_2008,thermal_surface,8,degC,measured,"road surface daytime reduction with reclaimed-wastewater sprinkling on water-retentive pavement (3C at night), Shiodome Tokyo","IWA abstract via OpenAlex"
10.2208/prohe.38.381,Kinouchi_Kanda_1997,thermal_air,1.5,degC,measured,"max air temperature difference between watered and non-watered paved road points in summer (humidity +8%)","J-Stage abstract via OpenAlex"
10.3354/cr006045,Grimmond_1996,thermal_air,-1.0,degC,measured,"NO cooling benefit: air temperature at high-tree-cover (30%) neighborhood equal to or up to 1C WARMER than low-tree (10%) area; study reports energy-balance fluxes","LA Times 22-Sep-1995 report on the SCE-funded study (fetched); paper itself reports fluxes"
10.3390/app132011451,Lee_2023,thermal_surface,15.5,degC,measured,"average slab cool-roof surface reduction (panel roofs 11.6C); cool pavements 1.8-5.8C (parking) and 2.5-4.3C (alleys), thermal imaging Aug-Oct 2019","MDPI abstract + full text (fetched)"
10.3390/app132011451,Lee_2023,thermal_air,2.7,degC,measured,"average INDOOR air reduction under cool roofs (max 3.4C, data loggers); ambient outdoor differences non-significant","MDPI full text (fetched)"
10.3390/su16229919,Kwon_2024,thermal_air,3.1,degC,measured,"ambient air reduction up to 3.1C from cooling fog systems (small water paths up to 1.5C), IoT monitoring 2021-2023","MDPI abstract (Semantic Scholar)"
10.3390/su16229919,Kwon_2024,thermal_surface,10,degC,measured,"surface reduction up to 10C from shading structures (cool roofs 2-3C)","MDPI abstract (Semantic Scholar)"
