doi,author_year,target_domain,effect_value,effect_unit,measurement,condition,source
10.1002/(sici)1097-0088(199805)18:6<681::aid-joc289>3.0.co;2-l,"Upmanis, Eliasson & Lindqvist 1998",thermal_air,1.33,degC,measured,"nocturnal park cool island, means from Fig 6 (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1002/joc.1330,"Potchter, Cohen & Bitan 2006",thermal_air,0.80,degC,measured,day/night mean PCI across 3 parks (m-a),Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1007/bf01040959,Barradas 1991,thermal_air,1.28,degC,measured,"daytime, rainy season, 5 parks (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1007/s00484-015-1014-x,Konarska et al. 2015,none,,,,abstract reports transpiration/no significant air temperature difference; no numeric cooling value,primary abstract
10.1007/s00704-010-0293-8,Chow et al. 2011,thermal_air,1.75,degC,measured,"daytime autumn, xeric/lawn campus sites vs hard surfaces",Knight 2021 Additional file 5 (outcome data tables)
10.1007/s00704-015-1409-y,Coutts et al. 2015,thermal_air,0.80,degC,measured,"night-time, street with trees vs mixed street, p<0.05",Knight 2021 Additional file 5 (outcome data tables)
10.1007/s10661-008-0483-3,"Zoulia, Santamouris & Dimoudi 2009",thermal_air,2.43,degC,measured,park vs urban station means (m-a),Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1016/0378-7788(90)90021-a,Jauregui 1991,thermal_air,3.0,degC,measured,"up to (reported range 2-3 degC); nocturnal traverses, clear calm nights, park vs boundaries",primary abstract
10.1016/j.apr.2021.01.017,Jia et al. 2021,pollutant_other,6,percent,measured,PM reduction near residential buildings behind roadside GI (BC 8%); pathway concentrations increased 20-28%,primary abstract
10.1016/j.atmosenv.2018.12.036,Abhijith & Kumar 2019,pm10,15,percent,measured,"up to; behind GI, cross-road winds, open-road field campaign",primary abstract
10.1016/j.atmosenv.2018.12.036,Abhijith & Kumar 2019,pm25,17,percent,measured,"up to; behind GI, cross-road winds (max relative change lowest for PM2.5)",primary abstract
10.1016/j.atmosenv.2021.118189,Donateo et al. 2021,pm10,23,percent,measured,"up to (19-23%); CityTree moss filter, active mode, close proximity",primary abstract
10.1016/j.atmosenv.2021.118189,Donateo et al. 2021,pm25,20,percent,measured,"up to (15-20%); CityTree moss filter, active mode, close proximity",primary abstract
10.1016/j.buildenv.2005.07.030,"Hien, Yok & Yu 2007",thermal_air,1.46,degC,measured,"rooftop garden site vs comparator, Figs 15/20 (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1016/j.buildenv.2006.06.017,Takebayashi & Moriyama 2007,thermal_surface,3.04,degC,measured,"green roof vs concrete roof, surface heat budget study (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1016/j.buildenv.2009.12.003,Georgi & Dimitriou 2010,thermal_air,2.56,degC,measured,"green vs built-up sites, Thessaloniki (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1016/j.buildenv.2010.03.001,Fioretti et al. 2010,thermal_surface,7.26,degC,measured,August monthly mean: concrete roof surface vs green roof substrate,Knight 2021 Additional file 5 (outcome data tables)
10.1016/j.buildenv.2011.04.034,"Oliveira, Andrade & Vaz 2011",thermal_air,2.18,degC,measured,"garden vs surrounding streets, summer daytime (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1016/j.buildenv.2011.06.025,Mahmoud 2011,thermal_air,4.7,degC,measured,"10-day daytime mean, trees/shrubs zone vs tree-lined paved road within park",Knight 2021 Additional file 5 (outcome data tables)
10.1016/j.buildenv.2011.07.027,Chow & Brazel 2012,thermal_air,2.5,degC,modeled,"microscale cooling, high-xeriscaping scenario in xeric residential area (local scale ~1.1); ENVI-met",primary abstract
10.1016/j.buildenv.2011.08.004,"Mackey, Lee & Smith 2012",none,,,,abstract reports NDVI-LST regression relationships only; no per-site temperature difference,primary abstract
10.1016/j.buildenv.2011.11.020,"Cohen, Potchter & Matzarakis 2012",thermal_air,1.32,degC,measured,"summer, wooded park vs reference (winter 1.17) (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1016/j.buildenv.2014.03.003,Zhang et al. 2014,energy,60,percent,modeled,"citywide reduction in net cooling energy use attributable to green spaces, summer (empirical model)",primary abstract
10.1016/j.buildenv.2015.06.002,Heusinger & Weber 2015,thermal_surface,0.10,degC,measured,"extensive green roof vs bitumen roof, surface temperature (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1016/j.buildenv.2016.10.021,Solcerova et al. 2017,thermal_air,0.48,degC,measured,"daytime air above blue-green roof, cloudy days (clear 0.37); surface was warmer",Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1016/j.buildenv.2017.02.020,Yin et al. 2017,thermal_surface,2.60,degC,measured,green facade vs bare wall (m-a),Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1016/j.ecoleng.2016.06.050,MacIvor et al. 2016,none,,,,abstract qualitative (cooling improved by irrigation/substrate/Sedum cover); no numeric difference,primary abstract
10.1016/j.enbuild.2005.02.001,"Lazzarin, Castellotti & Busato 2005",none,,,,abstract has no quantitative effect size; full text and review tables inaccessible,primary abstract
10.1016/j.enbuild.2011.09.018,Getter et al. 2011,thermal_air,1.5,degC,measured,September monthly mean maximum air temp 1 m above green roof vs gravel roof,Knight 2021 Additional file 5 (outcome data tables)
10.1016/j.enbuild.2015.04.055,"Karachaliou, Santamouris & Pangalou 2016",thermal_surface,14.0,degC,measured,dense-foliage green roof vs reference roof (less dense 8.2) (m-a),Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1016/j.enbuild.2015.06.047,Hoelscher et al. 2016,thermal_surface,3.16,degC,measured,"facade greening vs bare wall, Fig 5a (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1016/j.enbuild.2016.06.016,He et al. 2016,none,,,,abstract reports qualitative heat-flux/correlation findings only; no numeric value accessible,primary abstract
10.1016/j.enbuild.2016.09.056,El Bachawati et al. 2016,thermal_surface,9.74,degC,measured,"max recorded surface temp: traditional gravel roof 33.98 vs extensive green roof substrate 24.24, Lebanon",Cascone 2019 review summary (via web search)
10.1016/j.enbuild.2016.10.056,Foustalieraki et al. 2017,thermal_surface,10.11,degC,measured,dense-foliage green roof vs reference roof (m-a),Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1016/j.enbuild.2017.03.036,Perini et al. 2017,thermal_air,5.2,degC,measured,July mean: air behind green facade vs outside,Knight 2021 Additional file 5 (outcome data tables)
10.1016/j.enbuild.2017.05.052,Xu et al. 2017,thermal_air,12.0,degC,measured,"up to, at 12:00 summer; tree clusters vs open hard ground (site values 10.8-12.0)",Knight 2021 Additional file 5 (outcome data tables)
10.1016/j.energy.2006.11.011,Santamouris et al. 2007,energy,49,percent,modeled,up to (range 6-49%) whole-building summer cooling load; top floor 12-87%,primary abstract
10.1016/j.envpol.2011.03.007,"Susca, Gaffin & Dell'Osso 2011",thermal_air,2.0,degC,measured,average difference between most and least vegetated NYC monitoring areas,primary abstract
10.1016/j.envpol.2011.03.009,Yin et al. 2011,pollutant_other,9.1,percent,measured,"TSP removal by park vegetation, summer, Pudong (SO2 5.3%, NO2 2.6%)",primary abstract
10.1016/j.envpol.2012.11.010,Setala et al. 2013,pollutant_other,7.0,percent,measured,"NO2 reduction under tree canopies vs adjacent open areas, August in-leaf (p=0.085); TVOC 19.1%",Knight 2021 Additional file 5 (outcome data tables)
10.1016/j.envpol.2014.02.026,Grundstrom & Pleijel 2014,pollutant_other,7,percent,measured,NO2 mean in:out canopy ratio 0.93 (p=0.016),Knight 2021 Additional file 5 (outcome data tables)
10.1016/j.envpol.2014.02.026,Grundstrom & Pleijel 2014,o3,2,percent,measured,O3 mean in:out canopy ratio 0.98 (not significant),Knight 2021 Additional file 5 (outcome data tables)
10.1016/j.envpol.2014.08.015,"Cohen, Potchter & Schnell 2014",pollutant_other,48.5,percent,measured,"NOx park vs surrounding streets, summer (winter 78%); O3 similar or slightly higher inside park",Knight 2021 Additional file 5 (outcome data tables)
10.1016/j.envpol.2015.02.026,Tong et al. 2015,none,,,,abstract qualitative (fewer PM2.5 spikes behind barrier; trees can locally increase concentrations),primary abstract
10.1016/j.envpol.2015.09.006,Chen et al. 2016,none,,,,abstract qualitative; no numeric concentration reduction reported,primary abstract
10.1016/j.envpol.2019.01.016,Gomez-Moreno et al. 2019,pm10,50,percent,measured,"up to, 200 m into park vs traffic site (25% at 20 m), summer transects, Madrid",primary abstract
10.1016/j.envpol.2019.01.016,Gomez-Moreno et al. 2019,pm25,50,percent,measured,"up to, 200 m into park vs traffic site, summer transects, Madrid",primary abstract
10.1016/j.envpol.2020.114884,Abhijith & Kumar 2020,pollutant_other,9,percent,measured,up to (2-9%) PM reduction behind roadside hedge; PM1>PM10>PM2.5,primary abstract
10.1016/j.habitatint.2004.04.008,Wong & Yu 2005,thermal_air,3.1,degC,measured,"1-day mean: large green area vs CBD, p<0.0001",Knight 2021 Additional file 5 (outcome data tables)
10.1016/j.habitatint.2017.07.009,Qiu et al. 2017,thermal_air,1.40,degC,measured,green space vs built reference (m-a),Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1016/j.jclepro.2020.123306,Srbinovska et al. 2021,pm25,25,percent,measured,"average vs neighbouring non-green area; green wall, Skopje",primary abstract
10.1016/j.jclepro.2020.123306,Srbinovska et al. 2021,pm10,37,percent,measured,"average vs neighbouring non-green area; green wall, Skopje",primary abstract
10.1016/j.landurbplan.2006.09.005,"Chang, Li & Chang 2007",thermal_air,0.83,degC,measured,"mean park cool island, 61 Taipei parks (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1016/j.landurbplan.2010.03.008,Cao et al. 2010,thermal_surface,1.16,degC,measured,"average park cooling-effect intensity, summer (spring 1.30, autumn 0.43); ASTER LST, Nagoya",Aram 2019 Heliyon review text
10.1016/j.landurbplan.2013.11.002,Skoulika et al. 2014,thermal_air,1.32,degC,measured,"park vs urban reference, Athens (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
