doi,author_year,target_domain,effect_value,effect_unit,measurement,condition,source
10.1016/j.apr.2022.101514,Hajmohammadi_2022,no2,11,percent,measured,"inside ULEZ, 11 months post vs 12 months pre; state-space model of 28 monitoring stations","Delgado-Lindeman 2025 ETRR review Table 7 (10.1186/s12544-025-00749-2)"
10.1016/j.apr.2022.101514,Hajmohammadi_2022,nox,20,percent,measured,"inside ULEZ, 11 months post vs 12 months pre; NO -19%","Delgado-Lindeman 2025 ETRR review Table 7 (10.1186/s12544-025-00749-2)"
10.1016/j.atmosenv.2008.09.015,Johansson_2009,nox,12,percent,modeled,"up to; annual mean along most densely trafficked inner-city streets, permanent congestion-tax scenario; zone NOx emissions -8.5%","primary abstract (Atmos Environ 43:4843), fetched via ADS/ScienceDirect"
10.1016/j.atmosenv.2008.09.015,Johansson_2009,pm10,7,percent,modeled,"up to; annual mean along most densely trafficked streets, permanent congestion-tax scenario; zone PM10 emissions -13%","primary abstract (Atmos Environ 43:4843), fetched via ADS/ScienceDirect"
10.1016/j.atmosenv.2011.04.008,Invernizzi_2011,bc,47,percent,measured,"BC/PM10 ratio, Ecopass zone vs no-restriction zone, 3-day fixed-station campaign; PM10/PM2.5/PM1 mass differences not significant","primary abstract fetched via colab.ws DOI record"
10.1016/j.atmosenv.2011.12.050,Jones_2012,none,,,,"no usable concentration change for target pollutants: reductions were in particle number concentrations (30-59%, late 2007) attributed mainly to sulphur-free diesel fuel; abstract notes absence of similar reduction in regulated PM mass metrics","primary abstract fetched via colab.ws DOI record"
10.1016/j.atmosenv.2013.12.035,Panteliadis_2014,ec,12.9,percent,measured,"traffic contribution at roadside site, Amsterdam LEZ, ~1.5 yr post (95% CI 5.2-20.5)","primary abstract fetched via colab.ws DOI record; also ETRR review Annex 4"
10.1016/j.atmosenv.2013.12.035,Panteliadis_2014,pm10,5.8,percent,measured,"traffic contribution at roadside site, Amsterdam LEZ (95% CI 3.3-8.4)","primary abstract fetched via colab.ws DOI record; also ETRR review Annex 4"
10.1016/j.atmosenv.2013.12.035,Panteliadis_2014,no2,4.9,percent,measured,"traffic contribution at roadside site, Amsterdam LEZ (95% CI 3.0-6.9)","primary abstract fetched via colab.ws DOI record; also ETRR review Annex 4"
10.1016/j.atmosenv.2013.12.035,Panteliadis_2014,nox,5.9,percent,measured,"traffic contribution at roadside site, Amsterdam LEZ (95% CI 3.7-6.4)","primary abstract fetched via colab.ws DOI record; also ETRR review Annex 4"
