author_year,title,journal,doi,city,country,outcome,design,source_review
Gaitani_2011,Improving the microclimate in urban areas: a case study in the centre of Athens,Building Services Engineering Research and Technology,10.1177/0143624410394518,Athens,Greece,Combined cool pavements + green spaces + solar control + earth-to-air heat exchangers on 4160 m2 square; cool pavement surface up to 4.8C cooler than asphalt (measured); local summer air temp decrease up to 2C,Pre/post field monitoring campaigns of implemented bioclimatic rehabilitation + CFD-assisted evaluation,Urban Climate 2023 cool pavements systematic review (Table 5); also Akbari et al. 2016 JCEM
Fintikakis_2011,"Bioclimatic design of open public spaces in the historic centre of Tirana, Albania",Sustainable Cities and Society,10.1016/j.scs.2010.12.001,Tirana,Albania,25000 m2 bioclimatic rehabilitation combining IR-reflective cool pavements + greenery + shading; pavement surface up to 8C cooler (measured); ambient -2.1C (model-estimated),Implemented urban regeneration with surface/microclimate monitoring + simulation,Urban Climate 2023 cool pavements systematic review; Akbari et al. 2016 JCEM
Kolokotsa_2018,"Cool roofs and cool pavements application in Acharnes, Greece",Sustainable Cities and Society,10.1016/j.scs.2017.11.035,Acharnes (Athens),Greece,Combined cool roofs (municipal building) + cool paving stones (square/sidewalk); pavement surface -10K (measured); 17% annual cooling energy demand reduction,"Field monitoring (meteorological, surface temp, thermal imaging) of implemented measures + EnergyPlus/ENVI-met models",Urban Climate 2023 cool pavements systematic review (Table 5)
Lee_2023,The evaluation of the temperature reduction effects of cool roofs and cool pavements as urban heatwave mitigation strategies,Applied Sciences,10.3390/app132011451,Gimhae,South Korea,"Combined cool roofs + cool pavements installed district-wide; roof surface -15.5C avg (max 22.9C), indoor air -2.7C; pavement surface -1.8 to -5.8C (parking) and -2.5 to -4.3C (alleys)",Field experiment with thermal imaging + temperature loggers at 6 roof sites and multiple pavement sites,Systems 14:82 (2026) UHI systematic review
Kwon_2024,Exploring the heat mitigation effects of urban climate adaptation facilities,Sustainability,10.3390/su16229919,"Gimhae, Yechun, Geyang, Sangju",South Korea,Combined program: cooling fog -3.1C ambient; cool roofs -2 to -3C surface; shading structures -10C surface; small water paths -1.5C air; WBGT/UTCI comfort improved,Multi-year (2021-2023) field deployment with continuous IoT sensor monitoring across four cities,Systems 14:82 (2026) UHI systematic review
Yamagata_2008,Heat island mitigation using water retentive pavement sprinkled with reclaimed wastewater,Water Science and Technology,10.2166/wst.2008.187,Tokyo (Shiodome),Japan,Water-retentive pavement + reclaimed wastewater sprinkling; road surface -8C daytime and -3C night; sensible-to-latent heat flux shift; WBGT measured,Field survey comparing sprinkled vs non-sprinkled areas of implemented system,Cited in Hendel 2016 pavement-watering thesis lit review; verified via doi.org record
Hendel_2016,Measuring the effects of urban heat island mitigation techniques in the field: application to the case of pavement-watering in Paris,Urban Climate,10.1016/j.uclim.2016.02.003,Paris,France,"Operational street pavement-watering (city cleaning water network); field-measured air temperature, humidity and UTCI thermal comfort improvements at watered vs control streets",Paired watered/control street field monitoring over summers 2013-2014,Hendel 2016 PhD thesis (fetched) and citing record pages
ShashuaBar_2009,The cooling efficiency of urban landscape strategies in a hot dry climate,Landscape and Urban Planning,10.1016/j.landurbplan.2009.04.005,Sde Boqer (Negev),Israel,Six combined treatments of trees + lawn + shade mesh in courtyards; shade trees + grass gave daytime air temp depression up to 2.5K; shading grass cut irrigation water >50% (synergy),"Paired semi-enclosed courtyard field experiment, summer season",Cited (with 2011 companion) in Akbari et al. 2016 JCEM review; abstract fetched
Grimmond_1996,"Influence of tree cover on summertime surface energy balance fluxes, San Gabriel Valley, Los Angeles",Climate Research,10.3354/cr006045,Los Angeles (San Gabriel Valley),USA,Paired neighborhoods with 30% vs 10% irrigated tree/shrub cover; higher latent heat flux but also higher net radiation and slightly higher ambient temps at high-tree site,Simultaneous two-site surface energy balance field campaign (18 clear-sky summer days),Santamouris et al. 2018 JCEM greenery review (combined-technologies section)
Schneider_2023,Evidence-based guidance on reflective pavement for urban heat mitigation in Arizona,Nature Communications,10.1038/s41467-023-36972-5,Phoenix,USA,58 km reflective pavement seal (city pilot); surface -8.4C max at noon but mean radiant temp +2.3 to +5.1C midday; minimal air temp change; albedo degraded over 7 months,Micrometeorological comparison of three treated vs untreated neighborhoods,Systems 14:82 (2026) UHI systematic review
Kinouchi_Kanda_1997,An observation on the climatic effect of watering on paved roads,Journal of Hydroscience and Hydraulic Engineering,10.2208/prohe.38.381,Nagaoka,Japan,Road watering using preexisting snow-melting pipe infrastructure; observed cooling of paved road surfaces and local climate during hot weather,Field observation of watered vs unwatered paved road sections,Hendel 2016 PhD thesis pavement-watering literature review (fetched)
Takebayashi_2021,Study on appropriate heat mitigation technologies for urban block redevelopment based on demonstration experiments in Kobe city,Energy and Buildings,10.1016/j.enbuild.2021.111299,Kobe,Japan,Measured effects of implemented measures: road watering cut surface temp ~10C / MRT 1.9C / SET* 0.8C; fractal sunshade+mist cut MRT ~15C and SET* ~7C; water surface cut surface temp ~15C,Field demonstration experiments of five implemented heat countermeasures evaluated with SET*,fetched via doi.org
Kim_2009,Restoration of an inner-city stream and its impact on air temperature and humidity based on long-term monitoring data,Advances in Atmospheric Sciences,10.1007/s00376-009-0283-x,Seoul,South Korea,Long-term monitored air temperature and humidity changes around Cheonggyecheon after stream restoration (highway removal + water + greenway),Before-after long-term station monitoring of implemented urban stream restoration,Landscape Performance Series case study (doi.org/10.31353/cs0140)
Park_2019,Influence of urban form on the cooling effect of a small urban river,Landscape and Urban Planning,10.1016/j.landurbplan.2018.10.022,Seoul,South Korea,Restored Cheonggye River mean cooling intensity 0.46C over 32.7 m at 2pm and 0.37C over 37.2 m at 10pm; modulated by street width and building height,Summer field transect measurements around implemented restored urban river,full-text PDF fetched from DTU Orbit repository
Montero-Gutierrez_2026,Thermal comfort and energy performance of a passive urban climate shelter under extreme heat: Large-scale measurements at Cartuja Qanat Agora,Building and Environment,10.1016/j.buildenv.2026.114550,Seville,Spain,Implemented shelter combining solar blocking + water-fed radiant ceiling + ground/water heat exchange + evaporative night regeneration cut outdoor air temp >15C and MRT up to 8C; 80% of users thermally neutral,Large-scale experimental monitoring plus user comfort surveys of implemented multi-technology urban climate shelter,ScienceDirect via doi.org and Univ. of Seville repository
Sanz-Mas_2024,"Evaluating the effect of green, blue, and gray measures for climate change adaptation on children's well-being in schoolyards in Barcelona",Landscape and Urban Planning,10.1016/j.landurbplan.2024.105206,Barcelona,Spain,After green + blue (fountains) + gray (shade) schoolyard transformations in 11 schools: reduced heat sensation and improved comfort vs 10 comparison schools,Pre-post quasi-experimental difference-in-differences evaluation of implemented interventions,ScienceDirect via doi.org
Karam_2023,Spatial Microclimatic Characterization of a Parisian 'Oasis' Schoolyard,Proceedings of the 5th International Conference on Building Energy and Environment (Springer),10.1007/978-981-19-9822-5_315,Paris,France,"Microclimatic performance of implemented unsealed and greened OASIS schoolyard vs paired control, before (2019) and after (2021) works",BACI design with fixed weather stations plus mobile summer campaigns,cited in arXiv 2408.08317 ref [24]; abstract fetched via doi.org
