author_year,title,journal,doi,city,country,outcome,design,source_review
Akbari_2005,Monitoring the energy-use effects of cool roofs on California commercial buildings,Energy and Buildings,10.1016/j.enbuild.2004.11.013,"multiple sites, California",USA,cooling energy savings 22-54%,monitored pre/post cool roof retrofits of commercial buildings,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
Akbari_1997,Peak power and cooling energy savings of high-albedo roofs,Energy and Buildings,10.1016/S0378-7788(96)01001-8,Sacramento,USA,seasonal cooling savings ~2.2 kWh/day (~264 kWh/season); peak demand -0.6 kW,"monitored house and two school buildings, roof albedo raised 0.18 to 0.73",Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
Parker_1997,Roof solar reflectance and cooling energy use: field research results from Florida,Energy and Buildings,10.1016/S0378-7788(96)01000-6,"multiple sites, Florida",USA,substantial measured cooling energy savings in residences (field savings >20% reported when reflectance raised from 0.1-0.2 to 0.6),pre/post monitoring of occupied homes,Aggarwal & Molleti 2024 (10.3390/buildings14082257)
Kolokotroni_2013,Cool roof technology in London: An experimental and modelling study,Energy and Buildings,10.1016/j.enbuild.2011.07.011,London,UK,surface/indoor temp -2.5 C; ~8.5% energy saving,monitored naturally ventilated office (flat roof reflective paint) + TRNSYS model,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
Zingre_2015a,Modelling of cool roof heat transfer in tropical climate,Renewable Energy,10.1016/j.renene.2014.09.045,Singapore,Singapore,roof surface -5.4 C; daily heat gain -54%,cool roof heat transfer model validated with field experiments on real apartments,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
Zingre_2015b,Modeling of cool roof performance for double-skin roofs in tropical climate,Energy,10.1016/j.energy.2015.01.092,Singapore,Singapore,roof temp difference -15 C coated vs uncoated; peak indoor -2.4 C; daily heat gain -51%,"paired identical naturally ventilated apartments, pre/post coating",Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
Xu_2012,Quantifying the direct benefits of cool roofs in an urban setting: Reduced cooling energy use and lowered greenhouse gas emissions,Building and Environment,10.1016/j.buildenv.2011.08.011,Hyderabad,India,AC energy use -14 to -26%; ~20-22 kWh/m2/yr saving on coated roof area,detailed monitoring of commercial building cool roof retrofit,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
Garg_2016,Assessment of the impact of cool roofs in rural buildings in India,Energy and Buildings,10.1016/j.enbuild.2015.06.043,Nagpur and Hyderabad,India,indoor temp -4.0 to -5.5 C in unconditioned school buildings,monitored two unconditioned school buildings Mar-May 2014,Rawat & Singh 2022; DOI verified via Crossref
Kolokotsa_2012,"Numerical and experimental analysis of cool roofs application on a laboratory building in Iraklion, Crete, Greece",Energy and Buildings,10.1016/j.enbuild.2011.09.011,"Iraklion, Crete",Greece,energy saving 19.8% (roof albedo 0.89),pre/post monitoring of laboratory building + simulation,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
Romeo_2013,Impact of a cool roof application on the energy and comfort performance in an existing non-residential building. A Sicilian case study,Energy and Buildings,10.1016/j.enbuild.2011.07.023,"Trapani, Sicily",Italy,indoor operative temp -2.3 C; cooling energy -54%,two-phase pre/post monitoring of 700 m2 school roof,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
Androutsopoulos_2017,"Cool roof impacts on a school-building thermal and energy performance in Athens, Greece",Procedia Environmental Sciences,10.1016/j.proenv.2017.03.103,Athens,Greece,measured daily mean indoor air temp -1.6 to -1.9 C; estimated cooling demand -30% (heating penalty 12%),pilot school with cool roof vs twin reference school building monitoring,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
Synnefa_2012,Experimental and numerical assessment of the impact of increased roof reflectance on a school building in Athens,Energy and Buildings,10.1016/j.enbuild.2012.01.044,Athens,Greece,indoor air temp -2.8 C; annual cooling load -40% (roof reflectance 0.89),pre/post cool coating on school building + validated simulation,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
Pisello_2013,Active cool roof effect: impact of cool roofs on cooling system efficiency,Advances in Building Energy Research,10.1080/17512549.2013.865560,Rome,Italy,cooling energy requirement -34%; roof overheating -20 C; cooler suction air for rooftop heat pumps,monitored industrial/office building with rooftop HVAC units,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
Arumugam_2014,Experimental determination of comfort benefits from cool-roof application to an un-conditioned building in India,Advances in Building Energy Research,10.1080/17512549.2014.890540,"Pantnagar, Uttarakhand",India,seasonal avg indoor air temp -1.07 C (peak -1.38 C); ceiling heat flux -14.4 W/m2; +8% comfort hours,"coated vs uncoated adjoining roof sections, 6-month monitoring",Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
Pisello_2014,The thermal effect of an innovative cool roof on residential buildings in Italy: results from two years of continuous monitoring,Energy and Buildings,10.1016/j.enbuild.2013.10.031,Perugia,Italy,summer peak attic overheating -4.7 C; winter overcooling only 1.2 C,two years continuous monitoring of cool clay tile roof on residential building,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
Kolokotroni_2018,Cool roofs: High tech low cost solution for energy efficiency and thermal comfort in low rise low income houses in high solar radiation countries,Energy and Buildings,10.1016/j.enbuild.2018.07.005,TBD,Jamaica,ceiling surface temp -6.8 C; indoor air -2.3 C after cool paint,pre/post monitoring of single-storey house + calibrated models for Brazil and Ghana,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
