author_year,title,journal,doi,city,country,outcome,design,source_review
Anjos & Lopes 2017,"Urban Heat Island and Park Cool Island intensities in the coastal city of Aracaju, North-Eastern Brazil",Sustainability,10.3390/su9081379,Aracaju,Brazil,park cool island intensity (air temperature),urban station network / field observation,Knight et al. 2021 Environ Evid (Additional file 7)
Barradas 1991,Air temperature and humidity and human comfort index of some city parks of Mexico City,International Journal of Biometeorology,10.1007/bf01040959,Mexico City,Mexico,park air temperature and humidity reduction,in-park vs street field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
"Chang, Li & Chang 2007",A preliminary study on the local cool-island intensity of Taipei city parks,Landscape and Urban Planning,10.1016/j.landurbplan.2006.09.005,Taipei,Taiwan,park cool island intensity across many parks,paired park vs surroundings measurement,Knight et al. 2021 Environ Evid (Additional file 7)
Chow et al. 2011,Observing and modelling the nocturnal park cool island of an arid city: horizontal and vertical impacts,Theoretical and Applied Climatology,10.1007/s00704-010-0293-8,Phoenix,USA,nocturnal park cool island (air temperature),field observation + modelling,Knight et al. 2021 Environ Evid (Additional file 7)
"Cohen, Potchter & Matzarakis 2012",Daily and seasonal climatic conditions of green urban open spaces in the Mediterranean climate and their impact on human comfort,Building and Environment,10.1016/j.buildenv.2011.11.020,Tel Aviv,Israel,green space cooling and thermal comfort,seasonal field monitoring of green sites,Aram et al. 2019 Heliyon; also in Knight et al. 2021
"Potchter, Cohen & Bitan 2006","Climatic behaviour of various urban parks during hot and humid summer in the Mediterranean city of Tel Aviv, Israel",International Journal of Climatology,10.1002/joc.1330,Tel Aviv,Israel,park cool island day/night behaviour,multi-park field monitoring,Knight et al. 2021 Environ Evid (Additional file 7)
Coutts et al. 2015,Temperature and human thermal comfort effects of street trees across three contrasting street canyon environments,Theoretical and Applied Climatology,10.1007/s00704-015-1409-y,TBD,Australia,street tree air temperature and thermal comfort effect,street canyon field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
"Doick, Peace & Hutchings 2014",The role of one large greenspace in mitigating London's nocturnal urban heat island,Science of the Total Environment,10.1016/j.scitotenv.2014.06.048,London,UK,nocturnal cooling extent of large greenspace,transect + station measurement,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
Edmondson et al. 2016,Soil surface temperatures reveal moderation of the urban heat island effect by trees and shrubs,Scientific Reports,10.1038/srep33708,TBD,UK,soil surface temperature moderation under trees/shrubs,distributed sensor field observation,Knight et al. 2021 Environ Evid (Additional file 7)
"Feyisa, Dons & Meilby 2014",Efficiency of parks in mitigating urban heat island effect: An example from Addis Ababa,Landscape and Urban Planning,10.1016/j.landurbplan.2013.12.008,Addis Ababa,Ethiopia,park cooling intensity and distance,transect measurement across parks,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
