author_year,title,journal,doi,city,country,outcome,design,source_review
Ferreira_2015,Air quality improvements following implementation of Lisbon's low emission zone,Atmospheric Environment,10.1016/j.atmosenv.2015.09.064,Lisbon,Portugal,PM10 -23%; NO2 -12% after LEZ phase 2 (2011-2013 monitoring),"before/after monitoring, inside vs outside zone trend analysis",Delgado-Lindeman 2025 ETRR review (10.1186/s12544-025-00749-2)
Santos_2019,Impact of the implementation of Lisbon low emission zone on air quality,Journal of Hazardous Materials,10.1016/j.jhazmat.2018.11.061,Lisbon,Portugal,PM10 -29%; NO2 -12%; PM2.5 and NOx not significant,before/after monitoring (ANOVA on station data),Delgado-Lindeman 2025 ETRR review
Font_2019,A tale of two cities: Is air pollution improving in Paris and London?,Environmental Pollution,10.1016/j.envpol.2019.01.040,Paris and London,France/UK,"NO2 -5 to -6%/yr from 2010; PM10 -5 to -8%; PM2.5 -11% Paris, not significant London",monitoring trend analysis 2005-2016 (linear mixed-effects),Delgado-Lindeman 2025 ETRR review
Lebrusan_Toutouh_2020,Using smart city tools to evaluate the effectiveness of a Low Emissions Zone in Spain: Madrid Central,Smart Cities,10.3390/smartcities3020025,Madrid,Spain,NO2 -14% to -38% by station; PM2.5 0 to -8%; PM10 0 to -4%; no edge effects,"before/after monitoring (22 sensors, Mann-Whitney tests)",Delgado-Lindeman 2025 ETRR review
Salas_2021,Were traffic restrictions in Madrid effective at reducing NO2 levels?,Transportation Research Part D,10.1016/j.trd.2020.102689,Madrid,Spain,NO2 reduction inside Madrid Central (review: Madrid studies report NO2 -9.5% to -38%),before/after monitoring with statistical controls,Delgado-Lindeman 2025 ETRR review
Morillas_2024,Impact of the implementation of Madrid's low emission zone on NO2 concentration using Sentinel-5P/TROPOMI data,Atmospheric Environment,10.1016/j.atmosenv.2024.120326,Madrid,Spain,NO2 reduction inside LEZ detected from satellite column data,before/after satellite (TROPOMI) observation analysis,Delgado-Lindeman 2025 ETRR review
Silvaggio_2020,Life Monza: Comparison between ante and post-operam noise and air quality monitoring activities in a noise Low emission zone,Noise Mapping,10.1515/noise-2020-0015,Monza,Italy,NO2 -3% inside zone (small +5% outside); PM10 not significant,ante/post-operam monitoring with GAM models,Delgado-Lindeman 2025 ETRR review
Invernizzi_2011,"Measurement of black carbon concentration as an indicator of air quality benefits of traffic restriction policies within the Ecopass zone in Milan, Italy",Atmospheric Environment,10.1016/j.atmosenv.2011.04.008,Milan,Italy,Black carbon/PM10 ratio -47% in Ecopass zone vs no-restriction zone; PM10/PM2.5/PM1 mass not significant,spatial monitoring campaign inside vs outside charging zone,fetched primary paper; also cited in Urban Road Pricing comparative review (10.1016/j.trpro.2016.05.062)
Cesaroni_2012,Health benefits of traffic-related air pollution reduction in different socioeconomic groups: the effect of low-emission zoning in Rome,Occupational and Environmental Medicine,10.1136/oem.2010.063750,Rome,Italy,PM10 emissions -33%; NO2 -58% within zone; 921 years-of-life gained per 100000,ex-post full-chain accountability evaluation,Delgado-Lindeman 2025 ETRR review
Morfeld_2014,"Effectiveness of low emission zones: Large scale analysis of changes in environmental NO2, NO and NOx concentrations in 17 German cities",PLoS One,10.1371/journal.pone.0102999,17 cities,Germany,NO2 -4%; NO and NOx -4% (small but significant),before/after monitoring in/out zones (fixed-effects regression),Delgado-Lindeman 2025 ETRR review
Fensterer_2014,Evaluation of the impact of low emission zone and heavy traffic ban in Munich (Germany) on the reduction of PM10 in ambient air,International Journal of Environmental Research and Public Health,10.3390/ijerph110505094,Munich,Germany,PM10 -13% at busy road; -4.5% at urban background site,before/after monitoring vs reference site (semi-parametric regression),Delgado-Lindeman 2025 ETRR review
Qadir_2013,"Concentrations and source contributions of particulate organic matter before and after implementation of a low emission zone in Munich, Germany",Environmental Pollution,10.1016/j.envpol.2013.01.002,Munich,Germany,Elemental carbon -60% after LEZ,"before/after PM sampling (t-test, matrix factorisation)",Delgado-Lindeman 2025 ETRR review
Cyrys_2014,Low emission zones reduce PM10 mass concentrations and diesel soot in German cities,Journal of the Air & Waste Management Association,10.1080/10962247.2013.868380,Cologne/Berlin/Munich,Germany,PM10 -5% to -12% ex-post; diesel-related PM reductions up to 60%,synthesis of ex-post monitoring evaluations,Delgado-Lindeman 2025 ETRR review
Rasch_2013,Significant reduction of ambient black carbon and particle number in Leipzig as a result of the low emission zone,Gefahrstoffe Reinhaltung der Luft,TBD,Leipzig,Germany,Black carbon -18% to -36% near roads; PM10 not significant,before/after monitoring trend analysis (5 stations),Delgado-Lindeman 2025 ETRR review
Malina_Scheffler_2015,The impact of low emission zones on particulate matter concentration and public health,Transportation Research Part A,10.1016/j.tra.2015.04.029,25 cities,Germany,PM10 -19%; estimated 379-840 premature deaths avoided,before/after monitoring regression with meteorological controls,Delgado-Lindeman 2025 ETRR review
Gehrsitz_2017,The effect of low emission zones on air pollution and infant health,Journal of Environmental Economics and Management,10.1016/j.jeem.2017.02.003,44 LEZ cities vs 38 controls,Germany,PM10 -4%; ~3 fewer exceedance days; no clear infant health effect,difference-in-differences (monitoring stations),Delgado-Lindeman 2025 ETRR review; also included in Lancet Public Health 2023 review
Gu_2022,"Low emission zones reduced PM10 but not NO2 concentrations in Berlin and Munich, Germany",Journal of Environmental Management,10.1016/j.jenvman.2021.114048,Berlin and Munich,Germany,PM10 reduced; NO2 not reduced,before/after monitoring statistical evaluation,Delgado-Lindeman 2025 ETRR review
Sarmiento_2023,The air quality and well-being effects of low emission zones,Journal of Public Economics,10.1016/j.jpubeco.2023.105014,multiple cities,Germany,PM10 -1.9 ug/m3; NO2 -3.5 ug/m3 (both p<0.01); hypertension -4.6%,difference-in-differences (staggered LEZ rollout),"Lancet Public Health 2023 review (10.1016/S2468-2667(23)00120-2), preprint version; DOI from ETRR 2025 review"
Pestel_Wozny_2021,Health effects of Low Emission Zones: evidence from German hospitals,Journal of Environmental Economics and Management,10.1016/j.jeem.2021.102512,multiple cities,Germany,PM10 -6% (1.3 ug/m3); NO2 -5% (1.6 ug/m3); CVD inpatient share -9%,difference-in-differences (hospital and monitoring data 2006-2016),Lancet Public Health 2023 review
Panteliadis_2014,Implementation of a low emission zone and evaluation of effects on air quality by long-term monitoring,Atmospheric Environment,10.1016/j.atmosenv.2013.12.035,Amsterdam,Netherlands,Elemental carbon -12.9%; PM10 -5.8%; NO2 -4.9%; NOx -5.9%,long-term before/after monitoring (multivariate regression with meteorology),Delgado-Lindeman 2025 ETRR review
Boogaard_2012,Impact of low emission zones and local traffic policies on ambient air pollution concentrations,Science of the Total Environment,10.1016/j.scitotenv.2012.06.089,5 cities,Netherlands,"LEZ alone (old HDV) no significant change; streets with combined policies: soot -41%, NOx -36%, NO2 -25% vs -22%/-14%/-7% at controls",before/after monitoring at 8 locations with control sites,Delgado-Lindeman 2025 ETRR review
Jones_2012,A large reduction in airborne particle number concentrations at the time of the introduction of 'sulphur free' diesel and the London Low Emission Zone,Atmospheric Environment,10.1016/j.atmosenv.2011.12.050,London and Birmingham,UK,NOx -33% to -65% and PM10 -30% to -59% around LEZ introduction; attributed mainly to sulphur-free fuel,interrupted time series of particle counts 2005-2010,Delgado-Lindeman 2025 ETRR review
Mudway_2019,Impact of London's low emission zone on air quality and children's respiratory health: a sequential annual cross-sectional study,Lancet Public Health,10.1016/S2468-2667(18)30202-0,London,UK,NO2 -6% to -9%; PM10 not reduced; PM2.5 equivocal; children above NO2 limits fell 99% to 34%,sequential annual cross-sectional with monitored/modelled exposure,Delgado-Lindeman 2025 ETRR review
Ma_2021,Has the ultra low emission zone in London improved air quality?,Environmental Research Letters,10.1088/1748-9326/ac30c1,London,UK,NO2 change post-ULEZ evaluated; review synthesis: ULEZ studies found NO2 -10% to -20% (3 studies) or <5% (1 study),before/after counterfactual analysis of monitoring data,Delgado-Lindeman 2025 ETRR review
Hajmohammadi_2022,Evaluation of air quality effects of the London ultra-low emission zone by state-space modelling,Atmospheric Pollution Research,10.1016/j.apr.2022.101514,London,UK,NO2 reduction inside ULEZ detected (review: ULEZ NO2 reductions mostly 10-20%),state-space time series modelling of monitoring data,Delgado-Lindeman 2025 ETRR review
Tonne_2008,Air pollution and mortality benefits of the London congestion charge: spatial and socioeconomic inequalities,Occupational and Environmental Medicine,10.1136/oem.2007.036533,London,UK,"Modest concentration reductions across Greater London, larger within charging zone; 183 years of life per 100000 in zone wards",before/after dispersion modelling with monitoring data,cited in Johansson 2009 (fetched) and Invernizzi 2011 (fetched)
Johansson_2009,The effects of congestion tax on air quality and health,Atmospheric Environment,10.1016/j.atmosenv.2008.09.015,Stockholm,Sweden,NOx and PM10 emission and concentration reductions in inner city during 2006 congestion tax trial,evaluation of real trial (traffic measurements plus dispersion modelling),fetched primary paper; cited in road pricing literature
Simeonova_2021,"Congestion pricing, air pollution, and children's health",Journal of Human Resources,10.3368/jhr.56.4.0218-9363r2,Stockholm,Sweden,PM10 -13.7% (4.6 ug/m3); NO2 -18.7% (6.2 ug/m3); child acute asthma visits -50%,difference-in-differences vs other Swedish city centres,Lancet Public Health 2023 review
Ellison_2013,Five years of London's low emission zone: Effects on vehicle fleet composition and air quality,Transportation Research Part D,10.1016/j.trd.2013.03.010,London,UK,Vehicle fleet composition shift and air quality change over five years of the London LEZ,before/after fleet and monitoring data analysis,found via Crossref bibliographic search; verified title match 1.0
