author_year,title,journal,doi,city,country,outcome,design,source_review
Brown_Berry_1995,Determinants of program effectiveness: results of the national weatherization evaluation,Energy,10.1016/0360-5442(95)00027-e,national,USA,measured gas/electricity savings across national WAP; insulation among highest-saving measures,program evaluation with metered billing data,Giandomenico et al. 2022 Annu Rev Resour Econ (10.1146/annurev-resource-111920-124353)
Brown_Macey_1985,Evaluating the impact of two energy conservation programmes in a midwestern city,Applied Geography,10.1016/0143-6228(85)90005-0,midwestern city (unnamed),USA,measured savings from two conservation programmes; storm windows/doors lowest savings,pre/post billing comparison,Giandomenico et al. 2022 Annu Rev Resour Econ
Brown_White_1988,Stimulating energy conservation by sharing the savings: a community-based approach,Environment and Planning A,10.1068/a200517,not specified,USA,measured savings from shared-savings community weatherization; savings rose ~190-200 kWh per 1000 kWh higher baseline (RECAP),pre/post billing analysis,Giandomenico et al. 2022 Annu Rev Resour Econ
Brown_White_Purucker_1989,Energy savings of water-heater retrofits: evidence from Hood River,Energy and Buildings,10.1016/0378-7788(89)90017-0,Hood River OR,USA,measured electricity savings from water-heater retrofits,pre/post metered analysis,Giandomenico et al. 2022 Annu Rev Resour Econ
Burch_1993,A utility bill study of mobile home weatherization savings,Energy and Buildings,10.1016/0378-7788(93)90035-s,Colorado (state),USA,utility-bill measured weatherization savings in mobile homes; realized savings well below predictions,pre/post utility-bill analysis (no control group),Giandomenico et al. 2022 Annu Rev Resour Econ
Christensen_2021,Decomposing the wedge between projected and realized returns in energy efficiency programs,Review of Economics and Statistics,10.1162/rest_a_01087,Illinois (state),USA,realized savings below projections; wall insulation realization shortfall up to 20%; $7.65/tCO2 abated,quasi-experimental billing analysis (Illinois WAP),Giandomenico et al. 2022 Annu Rev Resour Econ
Fowlie_Greenstone_Wolfram_2018,Do energy efficiency investments deliver? Evidence from the Weatherization Assistance Program,Quarterly Journal of Economics,10.3386/w21331,Michigan (state),USA,measured savings well below engineering projections (realization rate <1); $329/tCO2 abated,randomized controlled trial with billing data,Giandomenico et al. 2022 Annu Rev Resour Econ
Goldberg_1986,A midwest low-income weatherization program seen through PRISM,Energy and Buildings,10.1016/0378-7788(86)90005-8,Midwest (region),USA,measured billing savings from low-income weatherization,PRISM weather-normalized pre/post billing analysis,Giandomenico et al. 2022 Annu Rev Resour Econ
Goldman_1985,Measured energy savings from residential retrofits: updated results from the BECA-B project,Energy and Buildings,10.1016/0378-7788(85)90022-2,multiple,USA,compiled measured retrofit savings across residential buildings (BECA-B),compilation of measured pre/post billing data,Giandomenico et al. 2022 Annu Rev Resour Econ
Goldman_Greely_Harris_1988,Retrofit experience in U.S. multifamily buildings: energy savings costs and economics,Energy,10.1016/0360-5442(88)90085-0,multiple,USA,measured energy savings and costs in retrofitted multifamily buildings,pre/post billing analysis of multifamily retrofits,Giandomenico et al. 2022 Annu Rev Resour Econ
Goldman_Ritschard_1986,Energy conservation in public housing: a case study of the San Francisco housing authority,Energy and Buildings,10.1016/0378-7788(86)90010-1,San Francisco CA,USA,measured energy savings in retrofitted public housing,pre/post billing case study,Giandomenico et al. 2022 Annu Rev Resour Econ
GraffZivin_Novan_2016,Upgrading efficiency and behavior: electricity savings from residential weatherization programs,Energy Journal,10.5547/01956574.37.4.jziv,not specified,USA,measured electricity savings; behaviorally encouraged participants saved 16.9% more,RCT/quasi-experimental billing analysis,Giandomenico et al. 2022 Annu Rev Resour Econ
Hewett_1986,Measured versus predicted savings from single retrofits: a sample study,Energy and Buildings,10.1016/0378-7788(86)90008-3,north-central US (region),USA,measured savings below audit predictions; furnace retrofit realization rate 78%,measured vs predicted pre/post billing sample study,Giandomenico et al. 2022 Annu Rev Resour Econ
Hirst_1987,Energy and economic effects of utility financial incentive programs: the BPA residential weatherization program,Energy Journal,10.5547/issn0195-6574-ej-vol8-no2-7,Pacific Northwest (region),USA,measured electricity savings; wall insulation below predictions; storm windows least cost-effective,program evaluation with metered consumption,Giandomenico et al. 2022 Annu Rev Resour Econ
