record_id,doi,study_site,track,subset,intervention,climate_tag,lcz_tag
B000,10.1002/(sici)1097-0088(199805)18:6<681::aid-joc289>3.0.co;2-l,"gothenburg:Upmanis, Eliasson & Lindqvist 1998",B,validation,greening,,
B001,10.1002/joc.1330,"tel-aviv:Potchter, Cohen & Bitan 2006",B,fine_tuning,greening,,
B002,10.1007/978-981-19-9822-5_315,paris:Karam_2023,B,fine_tuning,combined,,
B003,10.1007/bf01040959,mexico-city:Barradas 1991,B,fine_tuning,greening,,
B004,10.1007/s00376-009-0283-x,seoul:Kim_2009,B,validation,combined,,
B005,10.1007/s00484-015-1014-x,tbd:Konarska et al. 2015,B,validation,greening,,
B006,10.1007/s00704-010-0293-8,phoenix:Chow et al. 2011,B,fine_tuning,greening,,
B007,10.1007/s00704-015-1409-y,tbd:Coutts et al. 2015,B,fine_tuning,greening,,
B008,10.1007/s10661-008-0483-3,"athens:Zoulia, Santamouris & Dimoudi 2009",B,validation,greening,,
B009,10.1007/s12053-012-9164-8,national:Scheer_Clancy_NiHogain_2013,B,fine_tuning,retrofit,,
B010,10.1007/s12053-015-9418-3,national-(england-and-wales):Adan_Fuerst_2016,B,validation,retrofit,,
B011,10.1007/s12053-018-9634-8,national-(non-profit-housing):Filippidou_Nieboer_Visscher_2019,B,validation,retrofit,,
B012,10.1016/0143-6228(85)90005-0,midwestern-city-(unnamed):Brown_Macey_1985,B,fine_tuning,retrofit,,
B013,10.1016/0360-1323(85)90024-1,north-central-us-(region):Hirst_Goeltz_1985,B,fine_tuning,retrofit,,
B014,10.1016/0360-5442(84)90107-5,pacific-northwest-(region):Hirst_Bronfman_Goeltz_Trimble_Lerman_Keating_1984,B,fine_tuning,retrofit,,
B015,10.1016/0360-5442(88)90085-0,multiple:Goldman_Greely_Harris_1988,B,fine_tuning,retrofit,,
B016,10.1016/0360-5442(95)00027-e,national:Brown_Berry_1995,B,fine_tuning,retrofit,,
B017,10.1016/0378-7788(85)90018-0,pacific-northwest-(region):Hirst_White_Goeltz_McKinstry_1985,B,fine_tuning,retrofit,,
B018,10.1016/0378-7788(85)90022-2,multiple:Goldman_1985,B,validation,retrofit,,
B019,10.1016/0378-7788(86)90005-8,midwest-(region):Goldberg_1986,B,fine_tuning,retrofit,,
B020,10.1016/0378-7788(86)90008-3,north-central-us-(region):Hewett_1986,B,validation,retrofit,,
B021,10.1016/0378-7788(86)90010-1,san-francisco-ca:Goldman_Ritschard_1986,B,validation,retrofit,,
B022,10.1016/0378-7788(89)90014-5,hood-river-or:Hirst_Goeltz_Trumble_1989,B,fine_tuning,retrofit,,
