record_id,doi,author_year,intervention,climate_group,subset,domain,subtype,pollutant,effect_value,unit,measurement,n_source_rows,condition,source
B000,10.1002/(sici)1097-0088(199805)18:6<681::aid-joc289>3.0.co;2-l,"Upmanis, Eliasson & Lindqvist 1998",greening,continental,validation,thermal,park,,1.33,degC,measured,1,"nocturnal park cool island, means from Fig 6 (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
B001,10.1002/joc.1330,"Potchter, Cohen & Bitan 2006",greening,mediterranean,fine_tuning,thermal,park,,0.8,degC,measured,1,day/night mean PCI across 3 parks (m-a),Knight 2021 Additional file 2 (meta-analysis effect sizes)
B003,10.1007/bf01040959,Barradas 1991,greening,tropical_semiarid,fine_tuning,thermal,park,,1.28,degC,measured,1,"daytime, rainy season, 5 parks (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
B004,10.1007/s00376-009-0283-x,Kim_2009,combined,subtropical,validation,thermal,mixed_measures,,0.13,degC,measured,1,"average air temperature anomaly reduction at centre of restored Cheonggye stream vs surrounding metropolitan area, long-term monitoring",Springer article abstract (fetched)
B006,10.1007/s00704-010-0293-8,Chow et al. 2011,greening,mediterranean,fine_tuning,thermal,park,,1.75,degC,measured,1,"daytime autumn, xeric/lawn campus sites vs hard surfaces",Knight 2021 Additional file 5 (outcome data tables)
B007,10.1007/s00704-015-1409-y,Coutts et al. 2015,greening,subtropical,fine_tuning,thermal,street_trees,,0.8,degC,measured,1,"night-time, street with trees vs mixed street, p<0.05",Knight 2021 Additional file 5 (outcome data tables)
B008,10.1007/s10661-008-0483-3,"Zoulia, Santamouris & Dimoudi 2009",greening,mediterranean,validation,thermal,park,,2.43,degC,measured,1,park vs urban station means (m-a),Knight 2021 Additional file 2 (meta-analysis effect sizes)
B009,10.1007/s12053-012-9164-8,Scheer_Clancy_NiHogain_2013,retrofit,oceanic,fine_tuning,energy,retrofit_program,,21,percent,measured,1,"gas consumption -21% (3664 +/- 603 kWh/yr) vs matched control group, 2008 to 2010, first year post-retrofit; shortfall of 36 +/- 8% vs ex-ante engineering estimate of 5676 kWh",Springer abstract page fetched (link.springer.com/article/10.1007/s12053-012-9164-8)
B010,10.1007/s12053-015-9418-3,Adan_Fuerst_2016,retrofit,oceanic,validation,energy,retrofit_program,,11.9,percent,measured,2,annual gas -10.5% (total energy -8.0%) in year after cavity wall insulation alone; boiler alone gas -4.1%; loft insulation alone gas -3.1%; difference-in-difference on NEED metered data,Springer full text fetched (link.springer.com/article/10.1007/s12053-015-9418-3)
B014,10.1016/0360-5442(84)90107-5,Hirst_Bronfman_Goeltz_Trimble_Lerman_Keating_1984,retrofit,oceanic,fine_tuning,energy,retrofit_program,,12.7,percent,measured,1,BPA Residential Weatherization Pilot: program-level weighted electricity savings 12.7% of consumption (n=1409 treated homes); study compared audit-only vs audit+zero-interest-loan groups,"Giandomenico et al. working paper Table 3 (fetched, institute.smartprosperity.ca)"
